Year/Année,Species/Espèce,Common name/Nom commun,Study site/Site d’étude,Associated community/Collectivité associée,Lat,Long,delta13C,delta13Cc,delta15N,delta15Nc,TP,C:N,Astaxanthin/Astaxanthine (mg/kg),Canthaxanthin/Canthaxanthine (mg/kg),Retinol/Rétinol (mg/kg)
2018,Mallotus villosus,Capelin,Coats Island,Naujaat,63.0 N,82.5 W,NA,NA,NA,NA,NA,NA,0,0,0
2018,Mallotus villosus,Capelin,Coats Island,Naujaat,63.0 N,82.5 W,NA,NA,NA,NA,NA,NA,0,0,0
2018,Mallotus villosus,Capelin,Coats Island,Naujaat,63.0 N,82.5 W,NA,NA,NA,NA,NA,NA,0,0,0
2018,Mallotus villosus,Capelin,Coats Island,Naujaat,63.0 N,82.5 W,NA,NA,NA,NA,NA,NA,0,0,0
2018,Themisto spp.,Amphipod,Station 12,Naujaat,65.9 N,85.7 W,NA,NA,NA,NA,NA,NA,2.8,0,0.39
2018,Themisto spp.,Amphipod,Station 12,Naujaat,65.9 N,85.7 W,NA,NA,NA,NA,NA,NA,1.82,0,0.34
2018,Themisto spp.,Amphipod,Station 12,Naujaat,65.9 N,85.7 W,NA,NA,NA,NA,NA,NA,2.29,0,0
2019,Boreogadus saida,Arctic cod,Station 15,Naujaat,65.5 N,84.5 W,NA,NA,NA,NA,NA,NA,0,0,0
2019,Boreogadus saida,Arctic cod,Station 15,Naujaat,65.5 N,84.5 W,NA,NA,NA,NA,NA,NA,0,0,0
2019,Boreogadus saida,Arctic cod,Station 15,Naujaat,65.5 N,84.5 W,NA,NA,NA,NA,NA,NA,0,0,0
2019,Boreogadus saida,Arctic cod,Station 15,Naujaat,65.5 N,84.5 W,NA,NA,NA,NA,NA,NA,0,0,0
2019,Myoxocephalus spp.,Sculpin,Coats Island,Naujaat,63.0 N,82.5 W,NA,NA,NA,NA,NA,NA,0.64,0,0
2019,Triglops murrayi,Moustache sculpin,Coats Island,Naujaat,63.0 N,82.5 W,NA,NA,NA,NA,NA,NA,0,0,0
2019,Triglops pingelli,Ribbed sculpin,Coats Island,Naujaat,63.0 N,82.5 W,NA,NA,NA,NA,NA,NA,0,0,0
2019,Triglops pingelli,Ribbed sculpin,Coats Island,Naujaat,63.0 N,82.5 W,NA,NA,NA,NA,NA,NA,0,0,0
2021,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-25.25,NA,10.88,NA,NA,7.57,NA,NA,NA
2021,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-26.15,NA,9.37,NA,NA,5.99,NA,NA,NA
2021,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-27.97,NA,9.6,NA,NA,6.04,NA,NA,NA
2021,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-27.62,NA,9.16,NA,NA,6.86,NA,NA,NA
2021,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-26.55,NA,11.25,NA,NA,7.06,NA,NA,NA
2021,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-26.85,NA,9.33,NA,NA,10.17,NA,NA,NA
2021,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-25.69,NA,9.85,NA,NA,8.8,NA,NA,NA
2021,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-26.03,NA,11.5,NA,NA,5.82,NA,NA,NA
2021,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-25.91,NA,11.1,NA,NA,6.98,NA,NA,NA
2021,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-20.39,NA,7.36,NA,NA,5.51,NA,NA,NA
2021,Cottidae,Sculpin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-19.64,2.55,13.71,3.77,3.02,3.7,NA,NA,NA
2021,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-18.55,3.64,13.16,3.22,2.87,4.65,NA,NA,NA
2021,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-18.88,3.31,12.96,3.02,2.81,3.62,NA,NA,NA
2021,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-18.75,3.44,12.79,2.85,2.77,4.14,NA,NA,NA
2021,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-19.36,2.83,13.06,3.12,2.84,3.84,NA,NA,NA
2021,Mallotus villosus,Capelin,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,0,0,0
2021,Mallotus villosus,Capelin,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,0,0,0
2021,Cottidae larvae,Larval sculpin,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,0.6,0,0
2021,Cottidae larvae,Larval sculpin,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,2.15,0,0
2021,Onisimus spp.,Amphipod,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,13.5,2.81,0.34
2021,Onisimus spp.,Amphipod,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,21.8,3.34,0
2021,Onisimus spp.,Amphipod,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,16,3.93,0
2021,Onisimus spp.,Amphipod,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,4.49,1.92,0
2021,Onisimus spp.,Amphipod,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,16.4,3.17,0
2021,Gammarus spp.,Amphipod,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,42.6,2.24,0
2021,Gammarus spp.,Amphipod,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,65.2,0.87,0.21
2021,Gammarus spp.,Amphipod,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,122,2.92,0
2021,Gammarus spp.,Amphipod,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,30.4,1.34,0.55
2021,Mysis spp.,Mysid,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,11.8,0.7,4.74
2021,Mysis spp.,Mysid,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,11.9,0.57,6.01
2021,Mysis spp.,Mysid,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,4.91,0,3.77
2021,Mysis spp.,Mysid,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,18.6,0.56,5.61
2021,Themisto spp.,Amphipod,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,5.12,0,0.17
2021,Themisto spp.,Amphipod,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,2.77,0,0.29
2021,Themisto spp.,Amphipod,Naujaat area,Naujaat,66.3 N,85.7 W,NA,NA,NA,NA,NA,NA,2.04,0,0.33
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-21.36,NA,6.94,NA,NA,6.81,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-22.2,NA,8.93,NA,NA,5,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-22.15,NA,7.71,NA,NA,4.36,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-21.21,NA,7.35,NA,NA,4.08,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-21.56,NA,8.05,NA,NA,4.74,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-22.28,NA,7.16,NA,NA,5.42,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-20.6,NA,10.09,NA,NA,4.1,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-22.2,NA,7.54,NA,NA,6.22,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-22.33,NA,11.56,NA,NA,5.01,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-20.91,NA,9.95,NA,NA,4.58,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-20.94,NA,7.35,NA,NA,3.91,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-22.19,NA,7.25,NA,NA,4.87,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-21.93,NA,7.84,NA,NA,4.19,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-21.09,NA,7.38,NA,NA,6.37,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-22.76,NA,8.24,NA,NA,5.88,NA,NA,NA
2022,Calanus spp.,Copepod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-22.4,NA,9.2,NA,NA,5.11,NA,NA,NA
2022,Themisto spp.,Amphipod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-20.63,-1.37,9.81,1.56,2.41,4.89,2.17,0,0
2022,Themisto spp.,Amphipod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-20.59,-1.33,9.42,1.17,2.31,5.12,2.25,0,0
2022,Themisto spp.,Amphipod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-20.51,-1.25,9.77,1.52,2.4,4.68,2.55,0,0
2022,Gammarus spp.,Amphipod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-16.82,2.44,8.14,-0.14,1.96,5.22,113.58,0,0
2022,Gammarus spp.,Amphipod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-15.62,3.64,8.31,0.03,2.01,4.44,48.45,0,0
2022,Gammarus spp.,Amphipod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-14.62,4.64,8.23,-0.05,1.99,4.67,48.53,0,0
2022,Gammarus spp.,Amphipod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-16.16,3.1,8.69,0.41,2.11,4.6,NA,NA,NA
2022,Gammarus spp.,Amphipod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-17.59,1.67,7.95,-0.33,1.91,5.71,67.27,0,0
2022,Gammarus spp.,Amphipod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-15.83,3.43,8.42,0.14,2.04,5.84,82.34,0,0
2022,Onisimus spp.,Amphipod,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-14.74,4.52,12.75,4.47,3.21,5.28,22.31,0,0
2022,Hyas spp. zoea,Crab larvae,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-19.57,-0.31,9.33,1.05,2.28,4.75,4.31,0,0
2022,Hyas spp. zoea,Crab larvae,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-19.39,-0.13,9.01,0.73,2.2,4.68,4.39,0,0
2022,Hyas spp. zoea,Crab larvae,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-19.13,0.13,9.45,1.17,2.32,4.56,4.02,1.17,0
2022,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-22.62,-3.36,13,4.72,3.28,3.45,NA,NA,NA
2022,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-20.56,-1.3,13.3,5.02,3.36,3.56,0,0,0
2022,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-20.61,-1.35,13.16,4.88,3.32,3.72,0,0,0
2022,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-20.46,-1.2,12.17,3.89,3.05,3.62,0,0,0
2022,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-18.77,0.49,12.72,4.44,3.2,3.87,NA,NA,NA
2022,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-19.9,-0.64,12.44,4.16,3.13,3.91,0,0,0
2022,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-21.35,-2.09,13.2,4.92,3.33,3.71,NA,NA,NA
2022,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-21.44,-2.18,12.92,4.64,3.26,3.52,NA,NA,NA
2022,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-21.04,-1.78,12.89,4.61,3.25,3.89,NA,NA,NA
2022,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-21.33,-2.07,13.47,5.19,3.4,3.34,NA,NA,NA
2022,Mallotus villosus,Capelin,Rankin Inlet area,Rankin Inlet,62.7 N,91.8 W,-20.87,-1.61,13.32,5.04,3.36,3.37,0,0,0
